,Calculation1,School,City,County/State/ Territory,Count,Uad Uc Ethn 6 Cat,Pivot Field Values
0,21ST CENTURY EXPERIMENTAL SCH694223,21ST CENTURY EXPERIMENTAL SCH,,,App,All,11
1,A & M CONSOLIDATED HIGH SCHOOL441400,A & M CONSOLIDATED HIGH SCHOOL,College Station,TX,Adm,Asian,4
2,A & M CONSOLIDATED HIGH SCHOOL441400,A & M CONSOLIDATED HIGH SCHOOL,College Station,TX,App,Asian,8
3,A & M CONSOLIDATED HIGH SCHOOL441400,A & M CONSOLIDATED HIGH SCHOOL,College Station,TX,Adm,All,6
4,A & M CONSOLIDATED HIGH SCHOOL441400,A & M CONSOLIDATED HIGH SCHOOL,College Station,TX,App,All,11
5,A B MILLER HIGH SCHOOL50944,A B MILLER HIGH SCHOOL,Fontana,San Bernardino,App,Hispanic/ Latino,9
6,A B MILLER HIGH SCHOOL50944,A B MILLER HIGH SCHOOL,Fontana,San Bernardino,Adm,All,4
7,A B MILLER HIGH SCHOOL50944,A B MILLER HIGH SCHOOL,Fontana,San Bernardino,App,All,13
8,ABRAHAM LINCOLN HIGH SCHOOL52910,ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,App,White,6
9,ABRAHAM LINCOLN HIGH SCHOOL52910,ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,Enr,Asian,6
10,ABRAHAM LINCOLN HIGH SCHOOL52910,ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,Adm,Asian,8
11,ABRAHAM LINCOLN HIGH SCHOOL52910,ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,App,Asian,84
12,ABRAHAM LINCOLN HIGH SCHOOL52910,ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,App,Hispanic/ Latino,13
13,ABRAHAM LINCOLN HIGH SCHOOL52910,ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,Enr,All,7
14,ABRAHAM LINCOLN HIGH SCHOOL52910,ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,Adm,All,9
15,ABRAHAM LINCOLN HIGH SCHOOL52910,ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,App,All,109
16,ABRAHAM LINCOLN HIGH SCHOOL53075,ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,App,White,7
17,ABRAHAM LINCOLN HIGH SCHOOL53075,ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,App,Asian,6
18,ABRAHAM LINCOLN HIGH SCHOOL53075,ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,Adm,Hispanic/ Latino,4
19,ABRAHAM LINCOLN HIGH SCHOOL53075,ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,App,Hispanic/ Latino,33
20,ABRAHAM LINCOLN HIGH SCHOOL53075,ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,Adm,All,5
21,ABRAHAM LINCOLN HIGH SCHOOL53075,ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,App,All,51
22,ABU DHABI INDIAN SCHOOL697045,ABU DHABI INDIAN SCHOOL,,,App,All,9
23,ACAD FOR ACADEMIC EXCELLENCE50126,ACAD FOR ACADEMIC EXCELLENCE,Apple Valley,San Bernardino,Adm,All,3
24,ACAD FOR ACADEMIC EXCELLENCE50126,ACAD FOR ACADEMIC EXCELLENCE,Apple Valley,San Bernardino,App,All,7
25,ACADEMIA AVANCE CHARTER SCHOOL54247,ACADEMIA AVANCE CHARTER SCHOOL,Los Angeles,Los Angeles,App,All,10
26,ACADEMIES EDUCATION/EMPOWERMNT54617,ACADEMIES EDUCATION/EMPOWERMNT,Carson,Los Angeles,App,Asian,5
27,ACADEMIES EDUCATION/EMPOWERMNT54617,ACADEMIES EDUCATION/EMPOWERMNT,Carson,Los Angeles,App,Hispanic/ Latino,6
28,ACADEMIES EDUCATION/EMPOWERMNT54617,ACADEMIES EDUCATION/EMPOWERMNT,Carson,Los Angeles,Adm,All,4
29,ACADEMIES EDUCATION/EMPOWERMNT54617,ACADEMIES EDUCATION/EMPOWERMNT,Carson,Los Angeles,App,All,13
30,ACADEMY OF THE CANYONS53262,ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles,App,White,7
31,ACADEMY OF THE CANYONS53262,ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles,Adm,Asian,3
32,ACADEMY OF THE CANYONS53262,ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles,App,Asian,18
33,ACADEMY OF THE CANYONS53262,ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles,App,Hispanic/ Latino,5
34,ACADEMY OF THE CANYONS53262,ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles,Adm,African American,3
35,ACADEMY OF THE CANYONS53262,ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles,Enr,All,5
36,ACADEMY OF THE CANYONS53262,ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles,Adm,All,9
37,ACADEMY OF THE CANYONS53262,ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles,App,All,34
38,ACADEMY OF THE REDWOODS54135,ACADEMY OF THE REDWOODS,Eureka,Humboldt,Adm,White,3
39,ACADEMY OF THE REDWOODS54135,ACADEMY OF THE REDWOODS,Eureka,Humboldt,App,White,7
40,ACADEMY OF THE REDWOODS54135,ACADEMY OF THE REDWOODS,Eureka,Humboldt,Adm,All,4
41,ACADEMY OF THE REDWOODS54135,ACADEMY OF THE REDWOODS,Eureka,Humboldt,App,All,8
42,ACADEMY OUR LADY OF PEACE52820,ACADEMY OUR LADY OF PEACE,San Diego,San Diego,App,White,12
